# Temporary trajectory realization generation debug export
# RealizationNumberOneBased	21
# RealizationIndexZeroBased	20
# NormalizedGaussian	0.73350057313089556	-0.2638099304028626	-2.1635738261931472
Stage	StationIndex	CandidateIndex	Selected	SmoothnessScore	ReferenceMD	ReferenceIncl	ReferenceAz	ReferenceX	ReferenceY	ReferenceZ	MD	Abscissa	Incl	Az	X	Y	Z	TVD	North	East	DLS	BUR	TUR	VSect
raw-covariance-spherical-candidate	3	5	False		0.78000000000000114	0.0069813170079773184	-1.6598081186466074	6535283.7301409766	328657.08763614704	0.77543092631804456					6535283.6522240574	328657.32376344741	1.489390928677651	1.489390928677651	6535283.6522240574	328657.32376344741				
incremental-md-incl-az-candidate	3	5	False	0.00015079404908580063	0.78000000000000114	0.0069813170079773184	-1.6598081186466074	6535283.7301409766	328657.08763614704	0.77543092631804456	1.495404614908189	1.495404614908189	0.014491512557482685	2.8391611058948749	6535283.6522240574	328657.32376344741	1.489390928677651	1.489390928677651	6535283.6522240574	328657.32376344741	0.00070191640076699622	0.00069993051916537874	-0.0036410651946816586	0.61502163068032023
raw-covariance-spherical-candidate	3	6	False		0.78000000000000114	0.0069813170079773184	-1.6598081186466074	6535283.7301409766	328657.08763614704	0.77543092631804456					6535283.8175597182	328656.84334525577	1.4855337056082916	1.4855337056082916	6535283.8175597182	328656.84334525577				
incremental-md-incl-az-candidate	3	6	False	5.2523444345919934E-05	0.78000000000000114	0.0069813170079773184	-1.6598081186466074	6535283.7301409766	328657.08763614704	0.77543092631804456	1.494502394370663	1.494502394370663	0.016446816360088445	4.2544347981168427	6535283.8175597182	328656.84334525577	1.4855337056082916	1.4855337056082916	6535283.8175597182	328656.84334525577	0.00053577765485024703	0.00033807397389860883	-0.025273417046101088	1.1047651904342735
raw-covariance-spherical-candidate	3	7	False		0.78000000000000114	0.0069813170079773184	-1.6598081186466074	6535283.7301409766	328657.08763614704	0.77543092631804456					6535283.5181443663	328657.21604490321	1.4896680452443105	1.4896680452443105	6535283.5181443663	328657.21604490321				
incremental-md-incl-az-candidate	3	7	False	0.00019623039628346994	0.78000000000000114	0.0069813170079773184	-1.6598081186466074	6535283.7301409766	328657.08763614704	0.77543092631804456	1.4964619548854543	1.4964619548854543	0.019155677310234792	3.1394277967878335	6535283.5181443663	328657.21604490321	1.4896680452443105	1.4896680452443105	6535283.5181443663	328657.21604490321	0.0007777690214506288	0.00075841491089211066	-0.0090019638757876663	0.66189182704951122
incremental-md-incl-az-candidate-selected	3	3	True	7.0900348919655798E-06	0.78000000000000114	0.0069813170079773184	-1.6598081186466074	6535283.7301409766	328657.08763614704	0.77543092631804456	1.4934450994938331	1.4934450994938331	0.010657000445466245	4.5284835106090142	6535283.9516394092	328656.95106379996	1.485256589041632	1.485256589041632	6535283.9516394092	328656.95106379996	0.00041807832522071533	0.00011027031985647029	-0.037841948559602656	1.0907758895487907
incremental-md-incl-az-selected	3		True	0.038370347591695754	0.78000000000000114	0.0069813170079773184	-1.6598081186466074	6535283.7301409766	328657.08763614704	0.77543092631804456	1.4934450994938331	1.4934450994938331	0.010657000445466245	4.5284835106090142	6535283.9516394092	328656.95106379996	1.485256589041632	1.485256589041632	6535283.9516394092	328656.95106379996	0.00041807832522071533	0.00011027031985647029	-0.037841948559602656	1.0907758895487907
raw-covariance-spherical-candidate	4	0	False		50.780000000000001	0.012217304763960306	2.4870941840919194	6535283.4723099424	328657.09972686216	50.774161760723068					6535283.668459597	328656.76581856731	49.67333522488768	49.67333522488768	6535283.668459597	328656.76581856731				
incremental-md-incl-az-candidate	4	0	False	1.080911182249622E-05	50.780000000000001	0.012217304763960306	2.4870941840919194	6535283.4723099424	328657.09972686216	50.774161760723068	49.683189109572275	49.683189109572275	0.010192850544767292	2.8644210809458133	6535283.668459597	328656.76581856731	49.67333522488768	49.67333522488768	6535283.668459597	328656.76581856731	0.00031994738006259007	0.00023207880562436251	-0.021607697622894051	1.429164131398083
raw-covariance-spherical-candidate	4	1	False		50.780000000000001	0.012217304763960306	2.4870941840919194	6535283.4723099424	328657.09972686216	50.774161760723068					6535283.531471326	328657.49092142499	49.676320586905419	49.676320586905419	6535283.531471326	328657.49092142499				
